"Planet_key"	"p_name"	"Star_number"	"Mass"	"relative density"	"Radius (Earth)"	"type of terrain"	"Climate Type"
670	"Heliconian Mirage XXIV"	3303	1.25	0.55	1.32	"city:valley:glacier:plateau:tundra:ocean:rocky canyon:forest:jungle"	"tropical:temperate:hot:frigid:windy:superheated:arid"
671	"Heliconian Mirage VII"	3303	4.76	0.834	1.79	"valley"	"subartic"
672	"Atria Omega"	180	0.92	0.758	1.07	"sea:forest"	"superheated:temperate:windy:hot:frigid"
673	"Zavijava Helios"	4466	4.47	1.035	1.63	"verdant:vine"	"windy:artic:temperate:arid"
674	"Ogma Aphroditos"	6508	8.01	1.207	1.88	"scrubland:valley:mountain"	"tropical:arid"
675	"Ogma Gaian"	6508	2.53	1.136	1.31	"plain:cityscape:savanna"	"temperate:windy:rocky"
676	"Ogma Chimeraean"	6508	5.82	1.164	1.71	"jungle"	"temperate:rocky:humid:superheated"
677	"Mouhoun Prime"	9288	1.71	1.012	1.19	"rocky canyon"	"arid:artificial temperate:frigid"
678	"Mouhoun Decimal"	9288	4.01	1.001	1.59	"valley:cliff:vine:rainforest:hill"	"subartic:windy:frigid:frozen:superheated:humid:artic"
679	"Hassaleh Oranos"	4262	8.49	1.102	1.98	"plateau:cityscape:mountain:cave"	"rocky:subartic:artic"
680	"Dubhe Si"	4243	9.47	1.052	2.08	"city"	"superheated:humid:arid:frigid"
681	"Homam Duodecimal"	4820	2.13	1.005	1.28	"ice canyon:island:volcano:plain:jungle:ice cave:jungle:savanna"	"artic:hot:artificial temperate:arid:tropical"
682	"Vorpal Abyss Pi"	7880	3.81	0.728	1.74	"plain"	"frigid"
683	"Vorpal Abyss Beta"	7880	3.47	1.063	1.48	"rainforest:ice canyon:desert:plateau"	"superheated:windy:humid:artic"
684	"Sarin XIII"	8989	4.48	0.694	1.86	"urban:cliff:acid pool:lakes"	"humid:frigid:windy:tropical:artificial temperate"
685	"Sarin IV"	8989	3.08	1.166	1.38	"lakes"	"artificial temperate:frigid"
686	"Sarin XVI"	8989	3.65	0.926	1.58	"city"	"humid"
687	"Sarin X"	8989	7.29	1.203	1.82	"tundra"	"artic:frigid:hot:tropical"
688	"Nova Veil Atlasios"	6819	2.51	0.799	1.46	"verdant:field:lakes:ice cave:ice canyon"	"humid:frigid:arid:subartic:rocky:frozen"
689	"Cosmic Enigma Delta"	8063	1.43	1.783	0.93	"field:rocky desert"	"frigid:artic:artificial temperate:hot"
690	"Cosmic Enigma Theta"	8063	1.59	0.948	1.19	"jungle:tundra:sea:canyons:island"	"superheated:windy:frozen:rocky:hot"
691	"Cosmic Enigma Lambda"	8063	na	0.751	2.13	"desert:plateau:cliff:ash:field"	"frigid:temperate:superheated:hot"
692	"Cosmic Enigma Phi"	8063	1.69	0.915	1.23	"canyons"	"superheated:hot:arid:frigid"
693	"Malmok Gamma"	8	6.33	0.638	2.15	"city"	"windy:frozen:tropical:superheated"
694	"Malmok Upsilon"	8	2.93	0.659	1.64	"ice canyon:reef:cityscape:forest"	"hot:humid:frigid:arid"
695	"Malmok Beta"	8	0.89	1.354	0.87	"ash:ice cave:reef:plateau"	"artic:frigid:rocky:hot:superheated:artificial temperate:subartic"
696	"Uzumaki Celestial Shi"	6196	1.32	1.217	1.03	"scrubland"	"arid:artic:rocky:windy"
697	"Stellaria Whimsy Persephonian"	9958	8.43	1.114	1.96	"rock arche:cliff"	"frozen:artic"
698	"Sulafat Psi"	3351	2.3	1.26	1.22	"lakes:volcano"	"superheated:humid"
699	"Montuno Titanos"	5686	2.17	1.214	1.21	"plain:rocky desert"	"subartic:hot:humid"
700	"Montuno Hermesios"	5686	8.46	1.375	1.83	"ice cave:sea:cityscape"	"tropical:rocky:hot:frigid:windy"
701	"Montuno Nymphios"	5686	6.38	0.577	2.23	"valley:toxic cloudsea:field"	"temperate:windy:artic:artificial temperate"
702	"Montuno Apollox"	5686	2.19	0.546	1.59	"jungle"	"tropical:windy"
703	"Comet Veil XVII"	9618	1.79	1.136	1.16	"sinkholes"	"windy:frigid:hot"
704	"Koit Atlasios"	5986	3.15	1.458	1.29	"grassy hill"	"frigid:hot"
705	"Koit Herculean"	5986	5.67	1.554	1.54	"cityscape"	"windy:temperate"
706	"Koit Zephyrian"	5986	2.69	0.856	1.46	"cityscape:glacier:rocky canyon"	"tropical:humid:artificial temperate:artic"
707	"Schedar XII"	4852	1.09	1.292	0.94	"plateau"	"superheated:humid:windy:frigid"
708	"Yed Posterior XXII"	9743	2.2	0.983	1.31	"urban:mountain:bog"	"humid:hot"
709	"Wyrmslayer XIX"	1143	3.02	1.063	1.42	"ice cave:ice canyon:urban:mountain:river"	"windy:frozen:subartic:frigid:artic"
710	"Ra's Echo Aphroditos"	3661	3.26	0.981	1.49	"jungle:rocky canyon:plateau:sea"	"artificial temperate:subartic:superheated:tropical:frigid"
711	"Koi's Ascendance Secant"	1015	2.88	1.011	1.42	"city:barren"	"temperate:superheated:arid:humid"
712	"Pharaoh's Silence Titanos"	3816	2.78	1.032	1.39	"rocky canyon:vine:cave:city:ice canyon:tundra:toxic cloudsea:forest"	"arid:frozen:artic:subartic:rocky"
713	"Pharaoh's Silence Pantheon"	3816	5.39	0.809	1.88	"cave:rock arche:plain:barren"	"superheated:subartic:arid:rocky:tropical:frigid:windy"
714	"Pharaoh's Silence Orphean"	3816	1.41	0.995	1.12	"acid pool:city:river:valley:bog:urban:cave:mountain"	"temperate:humid:rocky:hot:frigid:artificial temperate"
715	"Nebuloria Poseidian"	4789	4.23	1.117	1.56	"hill:verdant"	"subartic:frozen:rocky:hot:frigid"
716	"Nebuloria Selenean"	4789	8.5	0.895	2.12	"reef:rocky island:rocky desert:valley:swamp:fungus forest"	"arid:temperate:tropical:rocky"
717	"Tesserion Nu"	6590	1.85	1.344	1.11	"rainforest:river:mountain:canyons:savanna:sinkholes:hill"	"rocky:frozen:subartic:superheated:artic"
718	"Tesserion Sigma"	6590	2.59	0.805	1.48	"jungle:valley:sea:bog"	"tropical:humid:temperate:frigid"
719	"Tesserion Mu"	6590	3.13	1.125	1.41	"rocky desert:verdant:sea:lakes:vine"	"subartic:frozen:temperate"
720	"Tesserion Pi"	6590	5.79	1.204	1.69	"cave:cliff"	"windy:humid"
721	"Procyon Liu"	3187	0.93	0.953	0.99	"mountain:grassy hill"	"humid:rocky:artic:superheated"
722	"Procyon Si"	3187	7.17	1.04	na	"canyons:acid pool:rainforest:glacier:hill"	"superheated:humid:windy:tropical:rocky:frozen"
723	"Procyon Wu"	3187	2.08	1.319	1.16	"river:field:mountain"	"subartic:superheated:tropical"
724	"Procyon San"	3187	6.59	0.582	2.25	"rocky canyon:vine"	"artificial temperate:superheated:temperate:rocky:tropical"
725	"Infinity Iris XII"	4929	5.62	0.856	1.87	"mountain"	"rocky:hot:artificial temperate:tropical:frigid:frozen:windy"
726	"Kagayaki Celestial Phi"	9951	na	0.864	1.54	"ice cave:cliff:cityscape:volcano:island"	"frozen:subartic:superheated:rocky:hot:frigid"
727	"Kagayaki Celestial Chi"	9951	7.29	1.087	1.89	"urban:valley:acid pool:scrubland:bog"	"superheated:arid:hot:rocky:humid"
728	"Pleione VI"	7822	3.57	1.082	1.49	"volcano"	"frigid:tropical:hot"
729	"Ra's Ascendance VIII"	8121	4.23	0.719	1.81	"ice canyon:verdant:cave"	"humid:artic"
730	"Ra's Ascendance XIX"	8121	3.64	1.119	1.48	"ocean:tundra:jungle:reef:cityscape:field:fungus forest:sea:cave:lakes:volcano"	"arid:hot:temperate:frozen:frigid:subartic:rocky"
731	"Exoplantra Phi"	4179	na	1.028	1.1	"rocky canyon:hill:reef:lakes:ice canyon"	"artificial temperate:frozen:artic:subartic:tropical"
732	"Exoplantra Delta"	4179	1.57	1.052	1.14	"lava river:volcano"	"artificial temperate:hot"
733	"Exoplantra Mu"	4179	7.63	0.788	na	"tundra:plateau:verdant:cave"	"superheated:tropical:subartic"
734	"Hathor's Labyrinth Demetrian"	7972	0.62	1.313	0.78	"glacier:toxic cloudsea:cliff"	"arid:frigid:subartic:frozen"
735	"Deneb Algedi Quartal"	5119	1.63	1.057	1.16	"sea:river"	"artificial temperate:frozen:arid"
736	"Deneb Algedi Undecimal"	5119	2.01	0.954	1.28	"savanna:swamp:river:grassland"	"hot:humid:arid"
737	"Deneb Algedi Nonal"	5119	2.43	0.64	1.56	"river:field:cityscape"	"windy:rocky:artificial temperate"
738	"Deneb Algedi Septimal"	5119	0.41	1.258	0.69	"river:acid pool"	"windy:hot:subartic:frigid:rocky:tropical:temperate"
739	"Bubup IX"	3938	1.52	1.13	na	"cityscape:mountain:rocky canyon"	"tropical:artificial temperate:subartic:artic:hot:arid"
740	"Spica Upsilon"	5958	6.22	1.304	1.68	"cliff:savanna"	"artic:arid:frigid"
741	"Spica Theta"	5958	1.53	1.263	1.07	"city:grassy hill:forest:reef"	"humid:subartic:hot:artificial temperate"
742	"Spica Lambda"	5958	4.17	1.382	1.45	"rocky desert:lakes:mountain"	"artic:frozen"
743	"Unukalhai Beta"	5863	3.64	1.136	1.47	"island:valley"	"artic:artificial temperate:tropical"
744	"Luminous Ember Xi"	5093	2.03	1.338	1.15	"forest:rocky island:grassland:field:plateau"	"frigid:humid:windy:artic"
745	"Luminous Ember Delta"	5093	5.77	1.162	1.71	"jungle:valley"	"hot"
746	"Luminous Ember Lambda"	5093	3.1	1.017	1.45	"field:valley:rainforest"	"humid:tropical:subartic:windy"
747	"Capella Selenean"	8367	6.84	0.907	1.96	"vine:rock arche:lava river:reef"	"frozen:humid:hot:artic"
748	"Capella Artemian"	8367	0.88	0.529	1.18	"sinkholes"	"frigid:hot:temperate:superheated"
749	"Alcyone Iota"	9094	7.7	1.263	1.83	"canyons"	"arid:rocky"
750	"Hunahpú Sextant"	4483	5.47	1.325	1.6	"forest"	"temperate:subartic:windy:frozen"
751	"Hunahpú Decimal"	4483	8.43	1.534	1.76	"rock arche:field"	"arid:humid:rocky:temperate:subartic"
752	"Hunahpú Undecimal"	4483	1.78	1.545	1.05	"mountain"	"subartic"
753	"Hunahpú Octal"	4483	4.77	1.016	1.67	"river:reef:city:mountain"	"superheated:tropical:rocky:frigid:windy"
754	"Axólotl Undecimal"	2128	1.01	1.033	na	"rocky desert"	"hot:humid:arid:superheated:artic:temperate"
755	"Hinotori Whispers Sextant"	391	2.6	1.022	1.37	"ocean:lakes"	"artificial temperate"
756	"Hinotori Whispers Quartal"	391	6.91	0.307	2.82	"acid pool:field"	"frozen:hot"
757	"Phact Centaurios"	5491	3.06	1.062	1.42	"ocean"	"windy"
758	"Phact Nemesisian"	5491	5.19	1.659	1.46	"plain:ash:tundra"	"superheated:rocky:tropical:hot:arid:frozen"
759	"Mintaka XIII"	9725	1.98	1.372	1.13	"mountain:cityscape:ice cave:rainforest:field:barren:lava river:ocean"	"subartic:windy:arid:superheated:artificial temperate:artic"
760	"Mintaka XIV"	9725	3.11	0.948	1.49	"bog:rock arche:field:sinkholes:plain:verdant"	"frozen:windy:artificial temperate:rocky:hot"
761	"Amatsu Echo Quartal"	273	4.26	0.925	1.66	"hill:rocky desert:tundra:field"	"artificial temperate:rocky:windy:artic:subartic"
762	"Galaxara Psi"	4219	5.29	1.187	1.65	"urban:lakes"	"humid:subartic"
763	"Galaxara Zeta"	4219	5.21	1.511	1.51	"hill:mountain:river"	"humid:hot:subartic"
764	"Galaxara Upsilon"	4219	6.84	1.111	1.83	"sea"	"artificial temperate:artic"
765	"Galaxara Xi"	4219	3.32	1.048	1.47	"lava river:plateau:cliff:savanna"	"superheated:frozen:artificial temperate"
766	"Lunariara Sirenios"	7099	5.14	0.902	1.79	"ash:savanna:plateau:mountain"	"artic:superheated:artificial temperate:temperate:arid:frigid"
767	"Lunariara Demetrian"	7099	3.18	0.491	1.86	"rocky canyon:ocean:canyons"	"frozen:frigid:artificial temperate:arid:subartic:windy"
768	"Lunariara Hecatean"	7099	1.39	1.65	0.94	"cave:plain"	"subartic:frozen:windy"
769	"Lunariara Centaurios"	7099	1.31	0.744	1.21	"verdant:ice cave:glacier:rocky desert:swamp"	"artic:frozen:tropical:rocky:temperate:subartic"
770	"Kōri Atlasios"	6952	0.36	1.198	0.67	"river"	"hot:rocky"
771	"Kōri Nereidos"	6952	3.78	1.004	1.56	"tundra:sinkholes:bog:grassy hill:ash"	"temperate:rocky:superheated"
772	"Porrima Gaian"	6165	3.91	0.613	1.85	"sinkholes:fungus forest:rock arche:plain"	"temperate:artificial temperate:frigid:rocky:hot"
773	"Imai San"	1579	1.64	1.148	1.13	"rock arche:cliff:savanna:toxic cloudsea:canyons:bog"	"humid:rocky:subartic:frozen:artic:tropical"
774	"Imai Si"	7044	na	1.116	1.52	"cityscape:rock arche"	"superheated:frigid"
775	"Imai Yi"	1579	4.84	1.015	1.68	"rainforest:verdant:reef"	"frigid:superheated"
776	"Imai Jiu"	1579	4.03	0.916	1.64	"acid pool:rocky desert:ice cave"	"frozen:hot:arid"
777	"Torii Shadows Qi"	7040	1.18	0.895	1.1	"vine:lava river:jungle:grassland:plain"	"artic:humid:windy:hot"
778	"Torii Shadows Jiu"	7040	na	0.799	2.2	"rocky desert"	"hot:temperate:rocky:humid"
779	"Torii Shadows Liu"	7040	1.52	1.692	0.96	"island:rocky canyon"	"artificial temperate:hot"
780	"Kraz Xi"	32	1.81	0.971	1.23	"bog:rocky island:grassland:ocean:rocky desert"	"windy:frigid:frozen:temperate"
781	"Kraz Chi"	32	2.82	1.33	1.28	"rocky canyon:sea:lakes:acid pool:cave:vine:ice canyon"	"subartic:frozen:artic:temperate:superheated"
782	"Ignitionara Prime"	5187	7.39	0.666	2.23	"bog"	"tropical:windy"
783	"Ignitionara Sextant"	5187	1.21	0.686	1.21	"sinkholes:rock arche:grassy hill:hill:vine:forest:ash:cityscape:plain"	"frigid:tropical:superheated:rocky:humid:temperate"
784	"Kōri Resonance XVIII"	9107	6.76	1.131	1.81	"bog"	"frozen:artificial temperate:temperate"
785	"Kōri Resonance IV"	9107	6.87	0.908	1.96	"glacier:city"	"windy:superheated:frozen"
786	"Kōri Resonance VIII"	9107	7.35	1.105	1.88	"acid pool:reef:cave"	"rocky:tropical:windy"
787	"Koi Horizon Decimal"	3261	7.07	1.198	1.81	"acid pool:tundra:field"	"subartic:hot:rocky:frozen:humid"
788	"Nahn Nu"	8879	5.07	0.982	1.73	"fungus forest:bog:acid pool:plain"	"artic:humid:windy:temperate"
789	"Nahn Chi"	8879	2.77	0.914	na	"plain:field:canyons:ocean:grassland:swamp:jungle:mountain:acid pool:barren:river"	"subartic:frozen:humid:arid:rocky:tropical:artificial temperate"
790	"Wurren Si"	6838	1.8	0.952	1.24	"island:sea"	"superheated:hot:windy:frigid"
791	"Wurren Qi"	6838	1.23	1.181	1.01	"vine:cityscape:ocean:toxic cloudsea:rocky desert:glacier:forest:bog"	"superheated:hot:frozen:tropical:temperate"
792	"Wurren Shi"	6838	5.9	0.86	1.9	"savanna:acid pool:mountain"	"windy:arid:humid:hot"
793	"Wurren San"	6838	2.79	0.854	1.48	"hill:lava river"	"arid:windy:subartic"
794	"Galaxy Prism Duodecimal"	3980	5.27	0.903	1.8	"grassy hill:forest"	"tropical:artic:hot:artificial temperate:frigid"
795	"Galaxy Prism Tertial"	3980	1.38	1.033	1.1	"island:grassy hill:cityscape:fungus forest:vine"	"artic:windy:superheated:humid:frigid"
796	"Galaxy Prism Octal"	3980	6.86	1.112	1.83	"cliff:grassy hill:canyons:jungle:urban"	"tropical:humid:rocky"
797	"Castula Septimal"	7513	1.97	0.837	1.33	"city:jungle:ocean:bog:sinkholes"	"subartic:temperate:superheated"
798	"Castula Sextant"	7513	3.76	0.941	1.59	"plain:barren"	"frozen:arid:rocky"
799	"Fafnir Eosian"	4295	8.11	1.141	1.92	"verdant:valley:ice canyon:canyons"	"superheated:hot:rocky:subartic"
800	"Komorebi Cascade Hestian"	956	0.44	1.215	na	""	"windy"
801	"Umbral Depths XIV"	919	0.9	0.966	0.98	"barren:desert:rocky island:ash"	"hot:arid:humid:frigid"
802	"Umbral Depths XXIII"	919	9.01	1.2	na	"fungus forest:rocky canyon:vine:urban:bog"	"frozen:tropical:superheated:hot:frigid:rocky"
803	"Umbral Depths IX"	919	4.28	1.407	1.45	"rock arche"	"rocky:artificial temperate:artic:temperate:tropical:windy"
804	"Umbral Depths V"	919	0.88	0.85	1.01	"field:rainforest:sinkholes:ice canyon:swamp"	"windy:artic:humid:superheated:hot"
805	"Scheat Dionysios"	8362	4.38	1.163	1.56	"glacier:barren"	"rocky:arid:subartic:artificial temperate"
806	"Elysionix Psychean"	3398	1.25	1.011	na	"cave:rock arche"	"frozen:subartic:humid"
807	"Elysionix Asclepian"	3398	1.56	0.694	1.31	"toxic cloudsea:rock arche"	"artic"
808	"Elysionix Zephyrian"	3398	4.23	1.085	1.57	"plain"	"temperate:artic:frozen:windy"
809	"Elysionix Hecatean"	3398	8.13	1.045	1.98	"rocky canyon:desert"	"hot:superheated:windy:tropical"
810	"Iklil Selenean"	664	3.1	1.062	1.43	"jungle:hill:rocky island"	"subartic:hot:frigid:rocky:artificial temperate:frozen:arid"
811	"Iklil Nyxios"	664	0.72	1.223	0.84	"canyons:lava river:ice canyon:jungle"	"superheated:temperate:humid:tropical:subartic"
812	"Iklil Cerberian"	664	6.9	1.413	1.7	"desert:acid pool:savanna:rocky canyon:rock arche:island"	"superheated:subartic:frozen:arid:frigid:artic"
813	"Stormrider Centaurios"	738	8.47	0.862	2.14	"lava river:acid pool:desert:bog:glacier:rocky canyon:mountain"	"arid:hot:artic:humid:temperate:rocky"
814	"Starlight Haven Qi"	2408	7.43	1.03	1.93	"glacier:valley"	"frigid:windy"
815	"Starlight Haven Ba"	2408	1.85	0.829	na	"river:desert:fungus forest"	"hot:temperate"
816	"Starlight Haven Jiu"	2408	5.83	0.834	1.91	"jungle"	"tropical:subartic"
817	"Astroth Demetrian"	5000	6.88	1.15	1.82	"tundra:grassland"	"humid:superheated:artificial temperate:frozen:subartic:arid"
818	"Veritate Nymphios"	8578	4.26	0.636	1.88	"hill:grassy hill:barren:rainforest:reef:ice canyon:plateau:rocky island"	"rocky:frozen:humid:frigid:artificial temperate:arid"
819	"Deneb Nymphios"	9260	na	0.394	2.69	"glacier:rainforest:field:jungle:ocean"	"humid:subartic:frigid:hot"
820	"Rukbat Faunios"	8073	1.77	1.502	1.06	"jungle:rock arche:glacier"	"subartic:frigid:superheated:artificial temperate"
821	"Lionrock Vigesimal"	2903	na	1.165	1.07	"verdant:lakes:grassy hill"	"frigid:superheated:tropical:hot"
822	"Lionrock Nonal"	2903	7.08	1.09	1.87	"sea:plain"	"humid:tropical:windy:artificial temperate"
823	"Lionrock Octal"	2903	4.04	1.252	1.48	"jungle:reef:grassy hill:rainforest:rocky island:rock arche:ice canyon:plain"	"frozen:artificial temperate:tropical:rocky:windy:frigid"
824	"Ascella Astraeos"	1706	1.22	1.165	1.02	"rocky desert:sinkholes:bog:city:canyons"	"artic:frozen:subartic:frigid:hot"
825	"Muscida XII"	3834	1.06	1.158	0.97	"rocky island:ash:rainforest"	"rocky:superheated:frigid:temperate:artificial temperate:hot"
826	"Heliosys Nu"	9545	5.03	1.019	1.7	"mountain:island:forest"	"tropical:frozen:subartic:artificial temperate:humid:windy"
827	"Heliosys Psi"	9545	1.54	0.849	1.22	"ocean"	"tropical:hot:humid"
828	"Acamar XXII"	7438	3.12	0.866	1.53	"valley:tundra:acid pool"	"arid:rocky:temperate:tropical"
829	"Menkent Si"	7693	2	1.004	1.26	"cave:bog:valley"	"rocky:tropical"
830	"Menkent Wu"	7693	na	1.125	1.04	"lakes:sinkholes:mountain:jungle:barren:desert"	"arid:tropical:rocky:superheated"
831	"Kaffaljidhma Beta"	7809	3.12	0.588	1.74	"rock arche:vine"	"arid"
832	"Penumbrion Mu"	4799	1.87	1.259	1.14	"forest:savanna:hill:sea:valley:rainforest:volcano:ice canyon:urban"	"rocky:subartic:artic:humid:hot:frozen"
833	"Liesma Wu"	821	2.25	0.986	1.32	"lava river"	"windy"
834	"Liesma Liu"	821	na	0.595	1.53	"sea:glacier"	"artic:frigid:frozen:superheated"
835	"Meissa VII"	9678	5.57	1.199	1.67	"glacier:forest:vine:swamp:ice cave:bog"	"tropical:rocky:frigid:humid"
836	"Meissa XVI"	9678	2.46	1.272	1.25	"ocean:reef:rock arche"	"artificial temperate:windy:subartic"
837	"Musica Qi"	1062	1.64	0.727	1.31	"rock arche:toxic cloudsea"	"frozen:rocky"
838	"Musica Ba"	1062	2.06	0.838	1.35	"acid pool:verdant:vine"	"tropical:arid:temperate:hot"
839	"Morava Gaios"	131	1.76	0.916	1.24	"jungle:sinkholes:field:vine:valley"	"frozen:artic:hot:rocky:subartic"
840	"Stardrax Beta"	2028	1.49	0.845	1.21	"mountain"	"tropical:arid:frozen"
841	"Stardrax Alpha"	2028	5.36	1.328	na	"field:sea"	"temperate:windy:tropical:subartic"
842	"Stardrax Kappa"	2028	3.09	1.132	na	"reef:savanna:ice cave"	"rocky:superheated:frigid:windy"
843	"Stardrax Pi"	2028	1.07	0.611	na	"verdant:canyons"	"windy:frigid:superheated"
844	"Ryusei Radiance Pantheon"	5515	na	0.597	1.71	"city:sea"	"temperate:rocky"
845	"Phecda Omega"	8624	1.56	0.918	1.19	"vine"	"artificial temperate:subartic"
846	"Phecda Gamma"	8624	3.24	1.153	1.41	""	"windy"
847	"Phecda Pi"	8624	3.2	0.824	1.57	"fungus forest:cliff:canyons:desert:jungle:tundra:field:mountain"	"hot:artic:superheated:rocky:temperate:artificial temperate"
848	"Cosmic Gaze Er"	4171	3.16	1.034	1.45	"reef"	"humid:superheated:windy:frozen:frigid"
849	"Cosmic Gaze Si"	4171	4.14	1.021	1.59	"vine:bog:ash"	"rocky:hot"
850	"Ayame Cascade Atlasios"	8182	0.6	1.583	0.72	"field:savanna:cave:ocean:verdant:cityscape:lava river:toxic cloudsea"	"superheated:artic:humid:arid:temperate"
851	"Vesperian Whimsy Chimeraean"	5075	8.91	0.61	2.44	"volcano:rocky desert:verdant"	"frozen:artic:arid"
852	"Etherion Vigesimal"	1433	8.77	0.99	2.07	"sea:hill:ocean"	"subartic:frigid"
853	"Etherion Secant"	1433	0.85	0.785	1.03	"tundra:city"	"rocky"
854	"Propus XIV"	3309	4.72	1.175	na	"plain"	"tropical:windy:subartic"
855	"Propus XV"	3309	4.99	0.59	2.04	"lava river:valley:jungle:ocean:bog:river:cliff:ice cave:glacier:city:sinkholes"	"subartic:humid:superheated:artic:rocky:artificial temperate:tropical"
856	"Propus II"	3309	1.06	0.703	1.15	"verdant:valley"	"windy:temperate"
857	"Zaurak Dionysios"	3163	9.18	1.276	1.93	"rocky canyon:vine"	"arid"
858	"Dalim Ba"	1044	5	0.647	1.98	"desert"	"artificial temperate:frigid:hot"
859	"Dalim Si"	1044	2.06	0.893	1.32	"tundra:plain"	"rocky"
860	"Dalim Jiu"	1044	2.09	1.244	1.19	"cave:plateau:lava river:rocky canyon:forest:field:ash"	"tropical:subartic:rocky:hot:superheated:arid"
861	"Taiyi Si"	3372	1.21	0.934	1.09	"urban:tundra:toxic cloudsea:vine"	"frozen:arid:artic"
862	"Taiyi Qi"	3372	0.64	1.243	0.8	"tundra:plateau:rocky island"	"subartic:frozen:rocky"
863	"Yūgen Shadows XXII"	5848	9.08	1.217	1.95	"valley"	"rocky:artic:subartic"
864	"Dìwö Morphean"	6312	0.35	0.953	0.72	"city"	"superheated:hot:rocky"
865	"Markeb Theta"	2006	8.31	0.866	2.13	"island:river:bog:acid pool:rocky island"	"hot:artic:frigid:humid"
866	"Markeb Chi"	2006	1.1	0.865	1.08	"valley:reef:cityscape"	"frigid:windy:rocky:tropical"
867	"Kawa Enigma I"	2859	2.17	1.047	1.28	"hill:ice cave:rainforest:glacier"	"subartic:windy:tropical:frozen"
868	"Kawa Enigma V"	2859	7.04	1.061	1.88	"plateau:sea"	"artificial temperate:frigid:artic:tropical"
869	"Theemin Omega"	6246	na	0.759	1.18	"sea:river"	"windy:temperate"
870	"Novaflame Quintal"	4160	0.67	1.547	0.76	"vine:rainforest:bog:fungus forest:field"	"arid:artificial temperate:rocky:humid:temperate:hot"
871	"Novaflame Sextant"	4160	1.96	1.146	1.2	"rocky island:river:island:swamp:ice cave:glacier:valley"	"windy:arid:frigid:rocky:tropical:frozen"
872	"Vortexara Octal"	430	na	0.943	1.26	"desert"	"artic:frozen:humid:superheated:arid:rocky:temperate"
873	"Zephyrianix Eosian"	9521	2.68	0.617	1.63	"rocky desert:vine:fungus forest:acid pool:tundra"	"artic:arid:temperate:humid"
874	"Zephyrianix Apollox"	9521	6.61	0.882	1.96	"ice canyon:rocky desert:cliff"	"subartic:frozen:frigid"
875	"Lurking Cosmos Er"	4981	1.39	0.909	1.15	"ice cave:jungle"	"artificial temperate:tropical:windy:humid:frozen:rocky"
876	"Zubenelhakrabi XV"	1058	8.38	0.786	2.2	"urban"	"frigid:subartic"
877	"Zubenelhakrabi XXI"	1058	6.38	1.103	1.79	"cliff:grassy hill:river"	"artificial temperate:subartic:humid:temperate:superheated:arid"
878	"Zubenelhakrabi XXIII"	1058	1.34	0.507	1.38	"fungus forest"	"humid:temperate:windy"
879	"Dracozen Gamma"	6494	2.94	0.834	1.52	"city:ice cave:rocky desert:ice canyon:mountain"	"subartic:windy:artic:rocky"
880	"Nusakan Omega"	4728	3.68	0.843	1.63	"canyons:cave"	"temperate"
881	"Nusakan Eta"	4728	1.46	0.941	1.16	"rainforest:cliff"	"superheated:artificial temperate:arid:rocky"
882	"Ninja's Horizon Alpha"	6062	1.81	0.512	na	"jungle:rock arche:lakes:ice canyon:swamp:ocean:cave:mountain"	"rocky:arid:artic:tropical:hot:windy"
883	"Ninja's Horizon Epsilon"	6062	1.69	0.943	1.21	"mountain:jungle"	"subartic:frozen:artic:hot"
884	"Ronin's Cascade Titanos"	4194	2.08	0.358	1.8	"grassy hill:field:tundra"	"windy:rocky:artificial temperate:hot:humid"
885	"Ronin's Cascade Artemian"	4194	5.95	1.414	1.61	"sea:ash:savanna"	"frozen:temperate:windy:rocky:superheated"
886	"Ronin's Cascade Hermesios"	4194	1.97	0.995	1.26	"lava river"	"frigid:artic:superheated:subartic:hot"
887	"Ma'at's Silence XV"	5950	9.71	0.88	2.23	"river"	"artificial temperate:windy"
888	"Alkaid Phi"	6413	1.53	1.01	1.15	"cave:cliff:river:plain:acid pool:rocky desert"	"frozen:temperate:hot:superheated:humid"
889	"Bharani I"	8321	na	1.294	1.68	"urban:tundra:lakes:river:reef"	"temperate:humid:subartic"
890	"Bharani II"	8321	7.63	1.011	1.96	"glacier"	"frigid:tropical:subartic:windy"
891	"Belel II"	7279	3.07	0.875	1.52	"mountain"	"artificial temperate"
892	"Belel XV"	7279	1.34	1.193	1.04	"glacier:rock arche:lava river:valley:island:acid pool"	"subartic:frigid:artificial temperate:superheated"
893	"Belel XXI"	7279	9	0.879	2.17	"plain:river:urban"	"rocky:temperate:frozen:artificial temperate"
894	"Cosmic Whispers Pegasusian"	6342	6.12	1.34	1.66	"desert:rocky island:hill:plain"	"tropical:artificial temperate:windy:frozen:hot:rocky"
895	"Lunar Quasar Shi"	6276	1.5	0.973	1.16	"island:cave:verdant:cliff"	"temperate:superheated:frozen:artificial temperate:hot"
896	"Lunar Quasar Yi"	6276	7.86	0.838	2.11	"lakes"	"tropical:temperate:frozen:rocky"
897	"Lunar Quasar Wu"	6276	1.96	1.124	1.2	"rainforest:valley:vine"	"humid:artificial temperate"
898	"Shinju San"	1549	6.47	1.47	1.64	"grassland:rocky canyon:plateau:lava river:lakes:rock arche"	"windy:superheated:humid:arid:tropical"
